OBJECTID,Join_Count,TARGET_FID,JOIN_FID,Station_ID,State,Network,Station_Na,Latitude,Longitude,Elevation,HUC2__2_di,HUC2_Name,HUC4__4_di,HUC4_Name,HUC6__6_di,HUC6_Name,HUC8__8_di,HUC8_Name,HUC10__10_,HUC10_Name,HUC12__12_,HUC12_Name,Report_Tim,Start_Date,End_Date,AREA,PERIMETER,OBJECTID_1,LEVEL2,LEVEL1,LEVEL3,Shape_Leng,OID_,NAME,Area_2,Hectares,PLY_HITS,SumPaAr,PctEcoRgn,NAME_L1,NAME_L2,Label
227,1,227,6,998,WA,SNOTEL,Easy Pass,48.859330000000000,-121.438950000000006,5270,17,Pacific Northwest Region,1711,Puget Sound,171100,Puget Sound,17110001,Sumas River,1711000101,Upper Chilliwack River,171100000000.000000000000000,Indian Creek-Chilliwack River,-8,9/19/2008 0:00:00,1/1/2100 0:00:00,35200000000.000000000000000,1359260.300000000046566,227,6.200000000000000,6,6.2.5,1359260.416519999969751,62,North Cascades,35158274664.599998474121094,3515827,2605,26082491781.299999237060547,74,Northwestern Forested Mountains,Western Cordillera,6.2.5: North Cascades
228,1,228,48,462,CA,SNOTEL,Ebbetts Pass,38.549700000000001,-119.804680000000005,8661,16,Great Basin Region,1605,Central Lahontan,160502,Carson,16050201,Upper Carson,1605020101,Upper East Fork Carson River,160502000000.000000000000000,Silver Creek,-8,10/1/1978 0:00:00,1/1/2100 0:00:00,52700000000.000000000000000,1730982.600000000093132,228,6.200000000000000,6,6.2.12,1730982.647110000019893,69,Sierra Nevada,52698350170.699996948242188,5269835,1963,38606587058.199996948242188,73,Northwestern Forested Mountains,Western Cordillera,6.2.12: Sierra Nevada
229,1,229,22,936,CO,SNOTEL,Echo Lake,39.656269999999999,-105.593450000000004,10600,10,Missouri Region,1019,South Platte,101900,South Platte,10190002,Upper South Platte,1019000208,Bear Creek,101900000000.000000000000000,Vance Creek,-8,8/10/1998 0:00:00,1/1/2100 0:00:00,144000000000.000000000000000,5410028.000000000000000,229,6.200000000000000,6,6.2.14,5410027.891010000370443,71,Southern Rockies,144347694381.000000000000000,14434769,11884,88090710613.100006103515625,61,Northwestern Forested Mountains,Western Cordillera,6.2.14: Southern Rockies
230,1,230,48,463,CA,SNOTEL,Echo Peak,38.848999999999997,-120.079499999999996,7653,16,Great Basin Region,1605,Central Lahontan,160501,Truckee,16050101,Lake Tahoe,1605010103,Upper Truckee River-Frontal Lake Tahoe,160501000000.000000000000000,Upper Truckee River-Frontal Lake Tahoe,-8,10/1/1980 0:00:00,1/1/2100 0:00:00,52700000000.000000000000000,1730982.600000000093132,230,6.200000000000000,6,6.2.12,1730982.647110000019893,69,Sierra Nevada,52698350170.699996948242188,5269835,1963,38606587058.199996948242188,73,Northwestern Forested Mountains,Western Cordillera,6.2.12: Sierra Nevada
231,1,231,9,1163,UT,SNOTEL,EF Blacks Fork GS,40.884720000000002,-110.540559999999999,9360,14,Upper Colorado Region,1404,Great Divide-Upper Green,140401,Upper Green,14040107,Blacks Fork,1404010703,Cottonwood Creek,140401000000.000000000000000,Sage Creek,-8,10/22/2010 0:00:00,1/1/2100 0:00:00,44700000000.000000000000000,2717030.200000000186265,231,6.200000000000000,6,6.2.13,2717030.170359999872744,70,Wasatch and Uinta Mountains,44678389660.400001525878906,4467839,3964,30088257535.200000762939453,67,Northwestern Forested Mountains,Western Cordillera,6.2.13: Wasatch and Uinta Mountains
232,1,232,46,464,OR,SNOTEL,Eilertson Meadows,44.868870000000001,-118.113870000000006,5510,17,Pacific Northwest Region,1705,Middle Snake,170502,Middle Snake-Powder,17050203,Powder,1705020304,Rock Creek-Powder River,170502000000.000000000000000,Rock Creek,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,70800000000.000000000000000,2071008.000000000000000,232,6.200000000000000,6,6.2.9,2071007.989820000017062,66,Blue Mountains,70756821948.899993896484375,7075682,3716,37742788243.099998474121094,53,Northwestern Forested Mountains,Western Cordillera,6.2.9: Blue Mountains
233,1,233,22,465,CO,SNOTEL,El Diente Peak,37.786169999999998,-108.021550000000005,10000,14,Upper Colorado Region,1403,Upper Colorado-Dolores,140300,Upper Colorado-Dolores,14030002,Upper Dolores,1403000202,Headwaters Dolores River,140300000000.000000000000000,Cayton Valley-Dolores River,-8,10/1/1985 0:00:00,1/1/2100 0:00:00,144000000000.000000000000000,5410028.000000000000000,233,6.200000000000000,6,6.2.14,5410027.891010000370443,71,Southern Rockies,144347694381.000000000000000,14434769,11884,88090710613.100006103515625,61,Northwestern Forested Mountains,Western Cordillera,6.2.14: Southern Rockies
234,1,234,6,910,WA,SNOTEL,Elbow Lake,48.690919999999998,-121.908929999999998,3040,17,Pacific Northwest Region,1711,Puget Sound,171100,Puget Sound,17110004,Nooksack,1711000404,South Fork Nooksack River,171100000000.000000000000000,Wanlick Creek-South Fork Nooksack River,-8,8/24/1995 0:00:00,1/1/2100 0:00:00,35200000000.000000000000000,1359260.300000000046566,234,6.200000000000000,6,6.2.5,1359260.416519999969751,62,North Cascades,35158274664.599998474121094,3515827,2605,26082491781.299999237060547,74,Northwestern Forested Mountains,Western Cordillera,6.2.5: North Cascades
235,1,235,45,466,ID,SNOTEL,Elk Butte,46.839979999999997,-116.122330000000005,5690,17,Pacific Northwest Region,1706,Lower Snake,170603,Clearwater,17060308,Lower North Fork Clearwater,1706030807,Elk Creek,170603000000.000000000000000,Upper Elk Creek,-8,10/1/1982 0:00:00,1/1/2100 0:00:00,179000000000.000000000000000,4034976.500000000000000,235,6.200000000000000,6,6.2.3,4034976.375150000210851,60,Columbia Mountains/Northern Rockies,178711091686.000000000000000,17871109,4702,58104385821.500000000000000,32,Northwestern Forested Mountains,Western Cordillera,6.2.3: Columbia Mountains/Northern Rockies
236,1,236,22,921,NM,SNOTEL,Elk Cabin,35.704300000000003,-105.806749999999994,8210,13,Rio Grande Region,1302,Rio Grande-Elephant Butte,130202,Rio Grande-Elephant Butte,13020201,Rio Grande-Santa Fe,1302020101,Santa Fe River,130202000000.000000000000000,Headwaters Santa Fe River,-8,10/1/1996 0:00:00,1/1/2100 0:00:00,144000000000.000000000000000,5410028.000000000000000,236,6.200000000000000,6,6.2.14,5410027.891010000370443,71,Southern Rockies,144347694381.000000000000000,14434769,11884,88090710613.100006103515625,61,Northwestern Forested Mountains,Western Cordillera,6.2.14: Southern Rockies
237,1,237,38,1106,MT,SNOTEL,Elk Peak,46.484499999999997,-110.712500000000006,7600,10,Missouri Region,1004,Missouri-Musselshell,100402,Musselshell,10040201,Upper Musselshell,1004020102,South Fork Musselshell River,100402000000.000000000000000,Alabaugh Creek,-8,7/8/2008 0:00:00,1/1/2100 0:00:00,4310000000.000000000000000,530036.619999999995343,237,6.200000000000000,6,6.2.10,530036.637055999948643,67,Middle Rockies,4314031906.270000457763672,431403,169,3535364864.349999904632568,81,Northwestern Forested Mountains,Western Cordillera,6.2.10: Middle Rockies
238,1,238,22,467,CO,SNOTEL,Elk River,40.847810000000003,-106.968710000000002,8700,14,Upper Colorado Region,1405,White-Yampa,140500,White-Yampa,14050001,Upper Yampa,1405000102,Headwaters Elk River,140500000000.000000000000000,Steamboat Lake,-8,10/1/1978 0:00:00,1/1/2100 0:00:00,144000000000.000000000000000,5410028.000000000000000,238,6.200000000000000,6,6.2.14,5410027.891010000370443,71,Southern Rockies,144347694381.000000000000000,14434769,11884,88090710613.100006103515625,61,Northwestern Forested Mountains,Western Cordillera,6.2.14: Southern Rockies
239,1,239,34,468,WY,SNOTEL,Elkhart Park G.S.,43.006570000000004,-109.758930000000007,9400,14,Upper Colorado Region,1404,Great Divide-Upper Green,140401,Upper Green,14040102,New Fork,1404010201,Upper New Fork River,140401000000.000000000000000,Lake Creek,-8,10/1/1963 0:00:00,1/1/2100 0:00:00,134000000000.000000000000000,3913764.200000000186265,239,6.200000000000000,6,6.2.10,3913764.233450000174344,67,Middle Rockies,133880389297.000000000000000,13388039,4843,96748903179.399993896484375,72,Northwestern Forested Mountains,Western Cordillera,6.2.10: Middle Rockies
240,1,240,22,1252,CO,SNOTEL,Elkhead Divide,40.796489999999999,-107.101219999999998,8780,14,Upper Colorado Region,1405,White-Yampa,140500,White-Yampa,14050001,Upper Yampa,1405000106,Elkhead Creek,140500000000.000000000000000,Headwaters Elkhead Creek,-8,9/1/2016 0:00:00,1/1/2100 0:00:00,144000000000.000000000000000,5410028.000000000000000,240,6.200000000000000,6,6.2.14,5410027.891010000370443,71,Southern Rockies,144347694381.000000000000000,14434769,11884,88090710613.100006103515625,61,Northwestern Forested Mountains,Western Cordillera,6.2.14: Southern Rockies
241,1,241,22,1120,CO,SNOTEL,Elliot Ridge,39.863999999999997,-106.424599999999998,10520,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010002,Blue,1401000206,Lower Blue River,140100000000.000000000000000,Deep Creek-Blue River,-8,8/7/2009 0:00:00,1/1/2100 0:00:00,144000000000.000000000000000,5410028.000000000000000,241,6.200000000000000,6,6.2.14,5410027.891010000370443,71,Southern Rockies,144347694381.000000000000000,14434769,11884,88090710613.100006103515625,61,Northwestern Forested Mountains,Western Cordillera,6.2.14: Southern Rockies
242,1,242,43,469,MT,SNOTEL,Emery Creek,48.434120000000000,-113.937250000000006,4350,17,Pacific Northwest Region,1701,Kootenai-Pend Oreille-Spokane,170102,Pend Oreille,17010209,South Fork Flathead,1701020907,Lower Hungry Horse Reservoir,170102000000.000000000000000,Hungry Horse Creek,-8,10/1/1975 0:00:00,1/1/2100 0:00:00,105000000000.000000000000000,3552727.000000000000000,242,6.200000000000000,6,6.2.4,3552726.910310000181198,61,Canadian Rockies,104576356933.000000000000000,10457636,373,52702792361.099998474121094,50,Northwestern Forested Mountains,Western Cordillera,6.2.4: Canadian Rockies
243,1,243,46,470,OR,SNOTEL,Emigrant Springs,45.558079999999997,-118.453829999999996,3800,17,Pacific Northwest Region,1707,Middle Columbia,170701,Middle Columbia,17070103,Umatilla,1707010305,Mission Creek-Umatilla River,170701000000.000000000000000,Iskuulpa Creek,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,70800000000.000000000000000,2071008.000000000000000,243,6.200000000000000,6,6.2.9,2071007.989820000017062,66,Blue Mountains,70756821948.899993896484375,7075682,3716,37742788243.099998474121094,53,Northwestern Forested Mountains,Western Cordillera,6.2.9: Blue Mountains
244,1,244,9,471,ID,SNOTEL,Emigrant Summit,42.360550000000003,-111.560850000000002,7390,16,Great Basin Region,1601,Bear,160102,Lower Bear,16010202,Middle Bear,1601020202,Trout Creek-Bear River,160102000000.000000000000000,Williams Creek,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,44700000000.000000000000000,2717030.200000000186265,244,6.200000000000000,6,6.2.13,2717030.170359999872744,70,Wasatch and Uinta Mountains,44678389660.400001525878906,4467839,3964,30088257535.200000762939453,67,Northwestern Forested Mountains,Western Cordillera,6.2.13: Wasatch and Uinta Mountains
245,0,245,-1,1071,AK,SNOTEL,Esther Island,60.798000000000002,-148.085700000000003,50,19,Alaska Region,1902,South Central Alaska,190202,Prince William Sound,19020201,Eastern Prince William Sound,1902020116,Eaglek Bay-Frontal Price William Sound,190202000000.000000000000000,Esther Lake-Frontal Prince William Sound,-9,10/1/2004 0:00:00,1/1/2100 0:00:00,,,245,,,,,,,,,,,,,,
246,1,246,34,472,WY,SNOTEL,Evening Star,44.652580000000000,-109.784220000000005,9200,10,Missouri Region,1007,Upper Yellowstone,100700,Upper Yellowstone,10070006,Clarks Fork Yellowstone,1007000603,Dead Indian Creek-Clarks Fork Yellowstone River,100700000000.000000000000000,Table Creek-Clarks Fork Yellowstone River,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,134000000000.000000000000000,3913764.200000000186265,246,6.200000000000000,6,6.2.10,3913764.233450000174344,67,Middle Rockies,133880389297.000000000000000,13388039,4843,96748903179.399993896484375,72,Northwestern Forested Mountains,Western Cordillera,6.2.10: Middle Rockies
247,0,247,-1,1092,AK,SNOTEL,Exit Glacier,60.190330000000003,-149.621170000000006,400,19,Alaska Region,1902,South Central Alaska,190202,Prince William Sound,19020202,Western Prince William Sound,1902020205,Resurrection River-Frontal Resurrection Bay,190202000000.000000000000000,Oulet Resurrection River,-9,7/5/2011 0:00:00,1/1/2100 0:00:00,,,247,,,,,,,,,,,,,,
248,0,248,-1,1174,AK,SNOTEL,Fairbanks F.O.,64.849999999999994,-147.800000000000011,450,19,Alaska Region,1908,Middle Yukon River,190803,Tanana River,19080306,Chena River,1908030609,Lower Chena River,190803000000.000000000000000,Chena River,-9,10/1/1981 0:00:00,1/1/2100 0:00:00,,,248,,,,,,,,,,,,,,
249,1,249,48,473,CA,SNOTEL,Fallen Leaf,38.934030000000000,-120.054500000000004,6242,16,Great Basin Region,1605,Central Lahontan,160501,Truckee,16050101,Lake Tahoe,1605010104,General Creek-Frontal Lake Tahoe,160501000000.000000000000000,Fallen Leaf Lake-Frontal Lake Tahoe,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,52700000000.000000000000000,1730982.600000000093132,249,6.200000000000000,6,6.2.12,1730982.647110000019893,69,Sierra Nevada,52698350170.699996948242188,5269835,1963,38606587058.199996948242188,73,Northwestern Forested Mountains,Western Cordillera,6.2.12: Sierra Nevada
250,1,250,9,474,UT,SNOTEL,Farmington,40.974620000000002,-111.809749999999994,7902,16,Great Basin Region,1602,Great Salt Lake,160201,Weber,16020102,Lower Weber,1602010205,Farmington Creek-Frontal Farmington Bay,160201000000.000000000000000,Farmington Creek-Frontal Farmington Bay,-8,10/1/1978 0:00:00,1/1/2100 0:00:00,44700000000.000000000000000,2717030.200000000186265,250,6.200000000000000,6,6.2.13,2717030.170359999872744,70,Wasatch and Uinta Mountains,44678389660.400001525878906,4467839,3964,30088257535.200000762939453,67,Northwestern Forested Mountains,Western Cordillera,6.2.13: Wasatch and Uinta Mountains
251,1,251,9,1054,UT,SNOTEL,Farmington Lower,40.991999999999997,-111.817019999999999,6779,16,Great Basin Region,1602,Great Salt Lake,160201,Weber,16020102,Lower Weber,1602010205,Farmington Creek-Frontal Farmington Bay,160201000000.000000000000000,Farmington Creek-Frontal Farmington Bay,-8,11/20/2003 0:00:00,1/1/2100 0:00:00,44700000000.000000000000000,2717030.200000000186265,251,6.200000000000000,6,6.2.13,2717030.170359999872744,70,Wasatch and Uinta Mountains,44678389660.400001525878906,4467839,3964,30088257535.200000762939453,67,Northwestern Forested Mountains,Western Cordillera,6.2.13: Wasatch and Uinta Mountains
252,1,252,9,475,UT,SNOTEL,Farnsworth Lake,38.772460000000002,-111.676620000000000,9623,16,Great Basin Region,1603,Escalante Desert-Sevier Lake,160300,Escalante Desert-Sevier Lake,16030003,Middle Sevier,1603000304,Salina Creek,160300000000.000000000000000,Gooseberry Creek,-8,7/24/1980 0:00:00,1/1/2100 0:00:00,44700000000.000000000000000,2717030.200000000186265,252,6.200000000000000,6,6.2.13,2717030.170359999872744,70,Wasatch and Uinta Mountains,44678389660.400001525878906,4467839,3964,30088257535.200000762939453,67,Northwestern Forested Mountains,Western Cordillera,6.2.13: Wasatch and Uinta Mountains
253,1,253,5,476,NV,SNOTEL,Fawn Creek,41.820979999999999,-116.101529999999997,7031,17,Pacific Northwest Region,1705,Middle Snake,170501,Middle Snake-Boise,17050104,Upper Owyhee,1705010403,Wild Horse Creek-Owyhee River,170501000000.000000000000000,Fawn Creek-Owyhee River,-8,10/1/1980 0:00:00,1/1/2100 0:00:00,142000000000.000000000000000,4208281.000000000000000,253,10.100000000000000,10,10.1.3,4208280.980340000241995,135,Northern Basin and Range,141971219172.000000000000000,14197122,4279,105832010818.000000000000000,74,North American Deserts,Cold Deserts,10.1.3: Northern Basin and Range
254,0,254,-1,1268,AK,SNOTEL,Fielding Lake,63.202669999999998,-145.630500000000012,3000,19,Alaska Region,1908,Middle Yukon River,190803,Tanana River,19080304,Delta River,1908030403,Phelan Creek,190803000000.000000000000000,Fielding Lake,-9,8/7/2014 0:00:00,1/1/2100 0:00:00,,,254,,,,,,,,,,,,,,
255,1,255,5,477,OR,SNOTEL,Fish Creek,42.709919999999997,-118.632099999999994,7660,17,Pacific Northwest Region,1712,Oregon Closed Basins,171200,Oregon Closed Basins,17120003,Donner und Blitzen,1712000301,Upper Donner und Blitzen River,171200000000.000000000000000,Fish Creek,-8,10/1/1978 0:00:00,1/1/2100 0:00:00,142000000000.000000000000000,4208281.000000000000000,255,10.100000000000000,10,10.1.3,4208280.980340000241995,135,Northern Basin and Range,141971219172.000000000000000,14197122,4279,105832010818.000000000000000,74,North American Deserts,Cold Deserts,10.1.3: Northern Basin and Range
256,1,256,6,478,WA,SNOTEL,Fish Lake,47.535649999999997,-121.085530000000006,3430,17,Pacific Northwest Region,1703,Yakima,170300,Yakima,17030001,Upper Yakima,1703000101,Cle Elum River,170300000000.000000000000000,Headwaters Cle Elum River,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,35200000000.000000000000000,1359260.300000000046566,256,6.200000000000000,6,6.2.5,1359260.416519999969751,62,North Cascades,35158274664.599998474121094,3515827,2605,26082491781.299999237060547,74,Northwestern Forested Mountains,Western Cordillera,6.2.5: North Cascades
257,1,257,9,1149,UT,SNOTEL,Fish Lake Utah,38.504550000000002,-111.766930000000002,8798,14,Upper Colorado Region,1407,Upper Colorado-Dirty Devil,140700,Upper Colorado-Dirty Devil,14070003,Fremont,1407000301,Headwaters Fremont River,140700000000.000000000000000,Deadman Hollow,-8,10/1/2010 0:00:00,1/1/2100 0:00:00,44700000000.000000000000000,2717030.200000000186265,257,6.200000000000000,6,6.2.13,2717030.170359999872744,70,Wasatch and Uinta Mountains,44678389660.400001525878906,4467839,3964,30088257535.200000762939453,67,Northwestern Forested Mountains,Western Cordillera,6.2.13: Wasatch and Uinta Mountains
258,1,258,1,479,OR,SNOTEL,Fish Lk.,42.380099999999999,-122.349429999999998,4660,17,Pacific Northwest Region,1710,Oregon-Washington Coastal,171003,Southern Oregon Coastal,17100307,Upper Rogue,1710030708,Little Butte Creek,171003000000.000000000000000,Upper North Fork Little Butte Creek,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,44700000000.000000000000000,2397485.500000000000000,258,6.200000000000000,6,6.2.7,2397485.614360000006855,64,Cascades,44747440340.500000000000000,4474744,3329,30607392777.799999237060547,68,Northwestern Forested Mountains,Western Cordillera,6.2.7: Cascades
259,1,259,34,480,MT,SNOTEL,Fisher Creek,45.062350000000002,-109.944879999999998,9100,10,Missouri Region,1007,Upper Yellowstone,100700,Upper Yellowstone,10070006,Clarks Fork Yellowstone,1007000602,Crandall Creek,100700000000.000000000000000,Hoodoo Creek,-8,10/1/1966 0:00:00,1/1/2100 0:00:00,134000000000.000000000000000,3913764.200000000186265,259,6.200000000000000,6,6.2.10,3913764.233450000174344,67,Middle Rockies,133880389297.000000000000000,13388039,4843,96748903179.399993896484375,72,Northwestern Forested Mountains,Western Cordillera,6.2.10: Middle Rockies
260,1,260,9,481,UT,SNOTEL,Five Points Lake,40.717849999999999,-110.467209999999994,10943,14,Upper Colorado Region,1406,Lower Green,140600,Lower Green,14060003,Duchesne,1406000307,Yellowstone River,140600000000.000000000000000,Garfield Creek,-8,8/14/1980 0:00:00,1/1/2100 0:00:00,44700000000.000000000000000,2717030.200000000186265,260,6.200000000000000,6,6.2.13,2717030.170359999872744,70,Wasatch and Uinta Mountains,44678389660.400001525878906,4467839,3964,30088257535.200000762939453,67,Northwestern Forested Mountains,Western Cordillera,6.2.13: Wasatch and Uinta Mountains
261,1,261,43,482,MT,SNOTEL,Flattop Mtn.,48.802250000000001,-113.857129999999998,6300,17,Pacific Northwest Region,1701,Kootenai-Pend Oreille-Spokane,170102,Pend Oreille,17010207,Middle Fork Flathead,1701020705,Middle Fork Flathead River-Lake McDonald,170102000000.000000000000000,McDonald Creek Headwaters,-8,10/1/1969 0:00:00,1/1/2100 0:00:00,105000000000.000000000000000,3552727.000000000000000,261,6.200000000000000,6,6.2.4,3552726.910310000181198,61,Canadian Rockies,104576356933.000000000000000,10457636,373,52702792361.099998474121094,50,Northwestern Forested Mountains,Western Cordillera,6.2.4: Canadian Rockies
262,0,262,-1,1285,AK,SNOTEL,Flower Mountain,59.396169999999998,-136.281229999999994,2510,19,Alaska Region,1901,Southeast Alaska,190103,Northern Southeast Alaska,19010303,Chilkat-Skagway Rivers,1901030312,Takhin River,190103000000.000000000000000,Porcupine Creek,-9,8/10/2017 0:00:00,1/1/2100 0:00:00,,,262,,,,,,,,,,,,,,
263,1,263,22,1186,CO,SNOTEL,Fool Creek,39.868699999999997,-105.867500000000007,11150,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000102,Fraser River,140100000000.000000000000000,Saint Louis Creek,-8,7/28/2011 0:00:00,1/1/2100 0:00:00,144000000000.000000000000000,5410028.000000000000000,263,6.200000000000000,6,6.2.14,5410027.891010000370443,71,Southern Rockies,144347694381.000000000000000,14434769,11884,88090710613.100006103515625,61,Northwestern Forested Mountains,Western Cordillera,6.2.14: Southern Rockies
264,1,264,48,1049,CA,SNOTEL,Forestdale Creek,38.682450000000003,-119.959699999999998,8017,16,Great Basin Region,1605,Central Lahontan,160502,Carson,16050201,Upper Carson,1605020103,West Fork Carson River,160502000000.000000000000000,Upper West Fork Carson River,-8,10/1/2003 0:00:00,1/1/2100 0:00:00,52700000000.000000000000000,1730982.600000000093132,264,6.200000000000000,6,6.2.12,1730982.647110000019893,69,Sierra Nevada,52698350170.699996948242188,5269835,1963,38606587058.199996948242188,73,Northwestern Forested Mountains,Western Cordillera,6.2.12: Sierra Nevada
265,1,265,14,1121,AZ,SNOTEL,Fort Valley,35.268059999999998,-111.744860000000003,7350,15,Lower Colorado Region,1502,Little Colorado,150200,Little Colorado,15020015,Canyon Diablo,1502001501,Rio de Flag,150200000000.000000000000000,Upper Rio de Flag,-8,6/26/2008 0:00:00,1/1/2100 0:00:00,83000000000.000000000000000,2498455.200000000186265,265,13.100000000000000,13,13.1.1,2498455.297230000142008,151,Arizona/New Mexico Mountains,83016512601.300003051757813,8301651,2562,52850099511.500000000000000,63,Temperate Sierras,Upper Gila Mountains,13.1.1: Arizona/New Mexico Mountains
266,0,266,-1,961,AK,SNOTEL,Fort Yukon,66.570499999999996,-145.245530000000002,430,19,Alaska Region,1907,Headwaters Yukon-Lake Laberge,190705,Fortymile River-Yukon River,19070506,Charley River-Yukon River,1907050621,Seventeen Mile Slough-Yukon River,190705000000.000000000000000,Seventeen Mile Slough-Yukon River,-9,10/1/1992 0:00:00,1/1/2100 0:00:00,,,266,,,,,,,,,,,,,,
267,1,267,1,483,OR,SNOTEL,Fourmile Lake,42.439329999999998,-122.228800000000007,5970,18,California Region,1801,Klamath-Northern California Coastal,180102,Klamath,18010203,Upper Klamath Lake,1801020302,Fourmile Creek,180102000000.000000000000000,Upper Fourmile Creek,-8,10/1/1978 0:00:00,1/1/2100 0:00:00,44700000000.000000000000000,2397485.500000000000000,267,6.200000000000000,6,6.2.7,2397485.614360000006855,64,Cascades,44747440340.500000000000000,4474744,3329,30607392777.799999237060547,68,Northwestern Forested Mountains,Western Cordillera,6.2.7: Cascades
268,1,268,9,484,ID,SNOTEL,Franklin Basin,42.050500000000000,-111.601200000000006,8140,16,Great Basin Region,1601,Bear,160102,Lower Bear,16010202,Middle Bear,1601020205,Cub River,160102000000.000000000000000,Upper Cub River,-8,10/1/1978 0:00:00,1/1/2100 0:00:00,44700000000.000000000000000,2717030.200000000186265,268,6.200000000000000,6,6.2.13,2717030.170359999872744,70,Wasatch and Uinta Mountains,44678389660.400001525878906,4467839,3964,30088257535.200000762939453,67,Northwestern Forested Mountains,Western Cordillera,6.2.13: Wasatch and Uinta Mountains
269,1,269,5,1277,CA,SNOTEL,Fredonyer Peak,40.687989999999999,-120.608050000000006,7208,18,California Region,1808,North Lahontan,180800,North Lahontan,18080003,Honey-Eagle Lakes,1808000303,Lower Pine Creek-Eagle Lake,180800000000.000000000000000,Lower Dry Lake-Frontal Eagle Lake,-8,10/7/2016 0:00:00,1/1/2100 0:00:00,142000000000.000000000000000,4208281.000000000000000,269,10.100000000000000,10,10.1.3,4208280.980340000241995,135,Northern Basin and Range,141971219172.000000000000000,14197122,4279,105832010818.000000000000000,74,North American Deserts,Cold Deserts,10.1.3: Northern Basin and Range
270,1,270,22,485,CO,SNOTEL,Fremont Pass,39.379910000000002,-106.196809999999999,11400,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010002,Blue,1401000203,Tenmile Creek,140100000000.000000000000000,Upper Tenmile Creek,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,144000000000.000000000000000,5410028.000000000000000,270,6.200000000000000,6,6.2.14,5410027.891010000370443,71,Southern Rockies,144347694381.000000000000000,14434769,11884,88090710613.100006103515625,61,Northwestern Forested Mountains,Western Cordillera,6.2.14: Southern Rockies
271,1,271,14,486,NM,SNOTEL,Frisco Divide,33.736460000000001,-108.945020000000000,8000,15,Lower Colorado Region,1504,Upper Gila,150400,Upper Gila,15040004,San Francisco,1504000403,Centerfire Creek-San Francisco River,150400000000.000000000000000,Stone Creek-San Francisco River,-8,10/1/1971 0:00:00,1/1/2100 0:00:00,83000000000.000000000000000,2498455.200000000186265,271,13.100000000000000,13,13.1.1,2498455.297230000142008,151,Arizona/New Mexico Mountains,83016512601.300003051757813,8301651,2562,52850099511.500000000000000,63,Temperate Sierras,Upper Gila Mountains,13.1.1: Arizona/New Mexico Mountains
272,1,272,34,487,MT,SNOTEL,Frohner Meadow,46.435450000000003,-112.192769999999996,6480,10,Missouri Region,1003,Missouri-Marias,100301,Upper Missouri,10030101,Upper Missouri,1003010113,Prickley Pear Creek,100301000000.000000000000000,Lump Gulch,-8,10/1/1967 0:00:00,1/1/2100 0:00:00,134000000000.000000000000000,3913764.200000000186265,272,6.200000000000000,6,6.2.10,3913764.233450000174344,67,Middle Rockies,133880389297.000000000000000,13388039,4843,96748903179.399993896484375,72,Northwestern Forested Mountains,Western Cordillera,6.2.10: Middle Rockies
273,0,273,-1,641,AK,SNOTEL,Frostbite Bottom,61.747219999999999,-149.268799999999999,2700,19,Alaska Region,1902,South Central Alaska,190205,Susitna River,19020505,Lower Susitna River,1902050512,Susitna River-Frontal Cook Inlet,190205000000.000000000000000,Fishhook Creek-Little Susitna River,-9,2/7/2019 0:00:00,1/1/2100 0:00:00,,,273,,,,,,,,,,,,,,
274,1,274,14,488,AZ,SNOTEL,Fry,35.072969999999998,-111.843739999999997,7200,15,Lower Colorado Region,1506,Salt,150602,Verde,15060202,Upper Verde,1506020205,Oak Creek,150602000000.000000000000000,Fry Canyon,-8,10/1/1978 0:00:00,1/1/2100 0:00:00,83000000000.000000000000000,2498455.200000000186265,274,13.100000000000000,13,13.1.1,2498455.297230000142008,151,Arizona/New Mexico Mountains,83016512601.300003051757813,8301651,2562,52850099511.500000000000000,63,Temperate Sierras,Upper Gila Mountains,13.1.1: Arizona/New Mexico Mountains
275,1,275,5,1262,NV,SNOTEL,Fry Canyon,41.570219999999999,-115.936449999999994,6798,16,Great Basin Region,1604,Black Rock Desert-Humboldt,160401,Humboldt,16040102,North Fork Humboldt,1604010201,Upper North Fork Humboldt River,160401000000.000000000000000,Headwaters North Fork Humboldt River,-8,10/8/2014 0:00:00,1/1/2100 0:00:00,142000000000.000000000000000,4208281.000000000000000,275,10.100000000000000,10,10.1.3,4208280.980340000241995,135,Northern Basin and Range,141971219172.000000000000000,14197122,4279,105832010818.000000000000000,74,North American Deserts,Cold Deserts,10.1.3: Northern Basin and Range
